round,date,win_1_group,win_1_number,win_2_group,win_2_number,2nd_1_1_group,2nd_1_1_number,2nd_1_2_group,2nd_1_2_number,2nd_2_1_group,2nd_2_1_number,2nd_2_2_group,2nd_2_2_number,3rd,4th,5th,6th_1,6th_2,7th_1,7th_2
1,20110706,4,601586,5,530562,4,601585,4,601587,5,530561,5,530563,725668,81227,1900,15,54,3,4
2,20110713,2,375223,2,511555,2,375222,2,375224,2,511554,2,511556,541116,19605,0772,13,53,3,9
3,20110720,1,405842,2,389932,1,405841,1,405843,2,389931,2,389933,503055,00611,6968,11,23,3,4
4,20110727,1,144422,2,835371,1,144421,1,144423,2,835370,2,835372,314768,03483,0110,08,45,5,8
5,20110803,3,197112,3,208043,3,197111,3,197113,3,208042,3,208044,377346,19584,0789,32,58,0,8
6,20110810,1,317170,3,311618,1,317169,1,317171,3,311617,3,311619,440563,63384,7454,02,74,1,2
7,20110817,3,360049,5,983515,3,360048,3,360050,5,983514,5,983516,988775,58712,5272,55,68,4,8
8,20110824,1,617999,3,550501,1,617998,1,618000,3,550500,3,550502,482851,70928,8098,67,94,0,1
9,20110831,1,250156,3,759177,1,250155,1,250157,3,759176,3,759178,862394,53916,1145,09,62,0,8
10,20110907,3,955088,4,449952,3,955087,3,955089,4,449951,4,449953,276668,58554,4042,10,96,6,7
11,20110914,1,743410,2,449618,1,743409,1,743411,2,449617,2,449619,723282,38469,6770,21,98,1,5
12,20110921,2,247202,5,112245,2,247201,2,247203,5,112244,5,112246,535594,88300,1241,00,16,0,9
13,20110928,2,747608,7,168239,2,747607,2,747609,7,168238,7,168240,142961,17991,3132,49,92,6,8
14,20111005,6,379717,7,804847,6,379716,6,379718,7,804846,7,804848,847767,09496,7908,35,88,6,9
15,20111012,4,325752,5,165864,4,325751,4,325753,5,165863,5,165865,768986,93293,1738,44,63,6,9
16,20111019,2,211799,6,712157,2,211798,2,211800,6,712156,6,712158,504191,24933,5519,19,83,2,7
17,20111026,3,952292,7,879489,3,952291,3,952293,7,879488,7,879490,211287,60958,2738,08,24,0,5
18,20111102,5,298717,6,713274,5,298716,5,298718,6,713273,6,713275,742605,75688,6588,14,58,6,8
19,20111109,4,968742,6,487934,4,968741,4,968743,6,487933,6,487935,318201,36736,7425,73,84,8,9
20,20111116,1,486374,4,645601,1,486373,1,486375,4,645600,4,645602,651001,06060,0284,14,21,2,3
21,20111123,2,511278,6,182853,2,511277,2,511279,6,182852,6,182854,851114,52430,2957,21,81,2,5
22,20111130,6,753227,7,423612,6,753226,6,753228,7,423611,7,423613,803150,43692,1162,80,88,3,6
23,20111207,2,313475,7,296329,2,313474,2,313476,7,296328,7,296330,489836,76936,8868,61,65,4,8
24,20111214,3,833782,7,131662,3,833781,3,833783,7,131661,7,131663,910197,17506,2923,18,21,3,7
25,20111221,6,265951,7,750416,6,265950,6,265952,7,750415,7,750417,554087,07778,0656,11,67,2,6
26,20111228,2,697778,6,785115,2,697777,2,697779,6,785114,6,785116,459983,99499,9919,07,69,1,9
27,20120104,2,202874,4,665049,2,202873,2,202875,4,665048,4,665050,141105,43844,2219,31,82,3,5
28,20120111,4,514226,5,429322,4,514225,4,514227,5,429321,5,429323,316253,68487,6678,25,46,2,4
29,20120118,2,631829,3,263656,2,631828,2,631830,3,263655,3,263657,169124,63614,6016,27,92,2,9
30,20120125,2,291849,4,541402,2,291848,2,291850,4,541401,4,541403,671847,52178,6363,02,29,2,6
31,20120201,1,349128,5,410752,1,349127,1,349129,5,410751,5,410753,930857,83876,2443,72,86,3,5
32,20120208,7,243999,7,732178,7,243998,7,244000,7,732177,7,732179,789336,44965,7331,60,97,1,7
33,20120215,1,504243,6,517797,1,504242,1,504244,6,517796,6,517798,493075,47791,5549,04,68,3,7
34,20120222,1,157909,5,387868,1,157908,1,157910,5,387867,5,387869,923418,14664,9772,68,80,6,9
35,20120229,4,658725,5,865836,4,658724,4,658726,5,865835,5,865837,885806,77004,0858,19,96,1,5
36,20120307,1,316777,7,392431,1,316776,1,316778,7,392430,7,392432,496580,43114,3819,07,37,4,5
37,20120314,2,918867,6,588899,2,918866,2,918868,6,588898,6,588900,396504,67783,7741,15,57,0,9
38,20120321,4,140569,6,977748,4,140568,4,140570,6,977747,6,977749,340835,72944,9749,31,38,1,9
39,20120328,1,681892,3,968290,1,681891,1,681893,3,968289,3,968291,819672,96123,4446,27,86,5,6
